Author,Timestamp,Likes,Total_Replies,Comment_Content
@mizumizukis,37:54,1,0,37:54 you're gonna have a what
@meatlessflower,5:43,0,0,"@5:43 rogan: “yea, whats day 1 like? you win, you get inaugurated, holy shit im president.” 😂 trump: “yea, thats what happened, so…” 😂"
@mellymoke,2:58:48,1,0,2:58:48
@mernest6835,2:13:33,1,0,2:13:33 yeah trump is definitely not like this
@taylorgarza8605,1:29:23,1,0,Anyone else see trumps eye at 1:29:23? Kinda weird
@LowStakesBaller,2:45:00,1,1,2:45:00 If you’re hear to hear about Aliens 😂😂😂
@cameronvanatti,2:04:35,0,0,"2:04:35 all we need to do is give out grants to families to pay for gardening supplies and educational materials. And probably force union-ize all Americans to give them better pay and working conditions, and to give them more time off work."
@Sir.co2,1:25:28,1,0,"at 1:25:28 when they start talking about ""evil people""... his reaction definitely shows his insights of the Epstein files, especially now since its been out."
@martincarlberg9671,1:52:30,0,0,1:52:30 - Fedor?
@justthink3375,2:50,0,0,2:50 so now we know why NBC turned against him they didn’t want him to leave
@AnthonyNardone999,43:54,0,0,43:54 is a perfect instagram reels car edit
@Patriotview-d3w,57:22,2,0,57:22
@wuagsaodbe9adhs,1:26:29,1,2,1:26:29
@Cambio-Lateral,1:20:00,1,0,1:20:00
@ImperialorbEmperess,22:28,0,0,22:28 lol I picked the wrong ones two. Takers they take everything and greedy.
@ImperialorbEmperess,18:31,0,0,18:31 so since I haven’t had control of my apps I have been talking to Elon. He follows thru somewhat. Lol he’s been tricking me. I am the one that license not Arkansas born natives.
@ImperialorbEmperess,16:43,0,0,16:43 my car 4 flat tires before the last 3 elections
@ImperialorbEmperess,15:47,0,0,15:47 I’m independent
@ImperialorbEmperess,20:03,0,0,20:03 me ? Or mom o
@ImperialorbEmperess,19:33,0,0,19:33 right
@ImperialorbEmperess,18:27,0,0,18:27 I will work
@ImperialorbEmperess,16:59,0,0,16:59 ugh
@ImperialorbEmperess,16:33,0,0,16:33 not me
@ImperialorbEmperess,13:58,0,0,13:58 make an appointment with me today.
@ImperialorbEmperess,12:49,0,0,12:49 those two blocked you on my twitter they throw ya under the bus! Then suspend my api account
@ImperialorbEmperess,11:26,0,0,11:26 Elon and Robert are against me got the trust and title arrest them Rico charges
@ImperialorbEmperess,9:42,0,0,9:42 I remember it was said he talked to me. Elon. Robert beat me he has my computer.
@ImperialorbEmperess,9:13,0,0,9:13 fits 5 foot 4
@ImperialorbEmperess,8:35,0,0,8:35 lol he doesn’t fit lmao
@ImperialorbEmperess,1:09:19,0,0,1:09:19 Biden fraud
@ImperialorbEmperess,1:04:44,0,0,1:04:44 who is making decisions? A terrorist and then they’re saying the governess did it. Return my computer and fix it!
@ImperialorbEmperess,1:16:11,0,0,1:16:11 who was the puppet master! Start The RICO charges. Return my title please.
@KIMNAMSUCK,1:28:31,0,0,1:28:31
@ElliottErnst,4:20,0,0,4:20 AM this is good.
@Bigreddog2099,24:15,1,0,24:15 44:54 45:08 2:15:31
@Ross3Doz,49:24,0,4,49:24 Bomb Venezuela
@BartCoz,1:36:23,1,0,1:36:23 😂😂
@Never-Too-High,43:55,3,0,43:55 some dj should remix that
@rollin60z,28:51,0,0,Women 28:51
@Insanity14159,00:30,0,0,00:30 Gawk Gawk 9000 has met it's rival.
@micahlevinnate3942,19:34,1,0,"Scripture strongly commands treating these ""aliens"" with deep respect, empathy, and justice. Key Biblical Principles on Aliens Love them as yourself: Leviticus 19:34 commands, ""The stranger who resides with you shall be to you as the native among you, and you shall love him as yourself."" Remember your history: Many verses (like Exodus 22:21) remind believers to treat foreigners well because the Israelites were once ""aliens in the land of Egypt."" Ensure justice: Deuteronomy 27:19 warns against withholding justice from the ""alien, the fatherless, or the widow."" The Pope agrees ....."
@EelisWalking,2:45:15,0,0,2:45:15 Trump's reaction and facial expression to Joe's alien question is deeply troubling. He knows stuff and it isn't good.
@ExperimentsOfThought,1:14:47,0,2,1:14:47 what I don’t get is mitigation. Why can’t we build nuclear reactors hundreds of feet underground that missiles can’t reach to protect against attack? If any threat of melt down occurs the plant is bombarded in deterrent material.
@shehanw9744,1:25:45,0,0,1:25:45 😂
@p.j.simpkins8324,10:52,0,0,10:52 Alvarez?
@crazyleaf257,37:06,0,0,37:06 😢😢😢😢
@lavorabroussard8651,14:16,0,1,"The name Donald means, ruler of the World."" In his role as Anti-Christ (Satan), Lucifer, Donald Trump and his ""fallen angels"" are controlling the Government. The ""Beast"" of Revelation is a Governmental System. Isaiah 14:16-18, ""They that see thee shall narrowly look upon thee, and consider thee, saying, Is this the man that made the earth to tremble, that did shake kingdoms; That made the world as a wilderness, and destroyed the cities thereof; that opened not the house of his prisoners? All the kings of the nations, even all of them, lie in glory, every one in his own house."" The Synagogue of Satan is the MAGA Cult. Satan is the only one of God's angels who is already condemned to destruction. The Prophet Isaiah (Michel de Nostredame);(1503-1566), usually Latinised as Nostradamus, was a French Astrologer, Apothecary, Physician, and reputed Seer, who is best known for his book Les Prophéties (published in 1555), a collection of 942 poetic quatrains allegedly predicting future events."
@gazing1459,1:33:20,1,0,1:33:20 lol
@てて-h9m,0:17,0,0,0:17
@James-y2c1o,24:47,0,0,24:47 exactly
@AmmarGamer11,2:15:10,5,0,2:15:10 this guy always does this hand movement 😂😂😂
@Panchi688,2:16,0,0,2:16 Liberals be like: omg he said the N word he hates black people
@sander5457,22:55,0,0,"22:55 Bill Ruffin is the biggest fish ever in high stakes poker 😂 the average 50nl (0,25/0,50cent) online grinder will crush him in every aspect of the game. Funny to listen to this interview now. You can really listen and see how much bullshit Trump is talking. And Joe knows it, but never interrupts him. 😂 It's actually a pathetic ""interview"""
@theFrozen0ne,3:27,1,0,3:27 you did what now??!
@YaNrr,28:20,1,0,28:20 this is still true
